cycle,s,C,O1,O2,score_best,elapsed_s
1,0.419,85,0.054,0.009,0.0405,4.02
2,0.6,87,0.036,0.009,0.0279,9.82
3,0.364,103,0.061,0.002,0.0431,7.52
4,0.49,86,0.059,0.008,0.0438,16.34
5,0.509,104,0.061,0.005,0.044,11.67
6,0.489,99,0.066,0.003,0.0471,11.79
7,0.452,80,0.055,0.015,0.0427,16.06
8,0.443,80,0.062,0.001,0.0437,16.65
9,0.483,80,0.067,0.002,0.0477,15.76
10,0.479,111,0.069,0.004,0.0499,15.96
11,0.302,80,0.071,0.003,0.0509,17.36
12,0.49,80,0.066,0.004,0.0473,17.3
13,0.532,87,0.066,0.009,0.049,16.55
14,0.492,82,0.068,0.007,0.0496,16.81
15,0.492,82,0.064,0.007,0.0471,17.44
16,0.515,91,0.07,0.007,0.0507,17.18
17,0.424,117,0.067,0.006,0.0489,17.99
18,0.491,88,0.061,0.004,0.044,16.23
19,0.505,99,0.074,0.001,0.0526,15.99
20,0.328,90,0.069,0.003,0.0493,16.55
21,0.349,82,0.071,0.0,0.0495,17.13
22,0.504,106,0.068,0.001,0.0477,17.33
23,0.515,120,0.072,0.003,0.0513,18.41
24,0.515,119,0.07,0.002,0.0496,17.93
