cycle,s,C,O1,O2,score_best,robust_score,elapsed_s
1,0.512,71.4,0.023,0.339,0.0,0.1497,4.8
2,0.688,76.8,0.056,0.055,0.0703,0.064,5.57
3,0.688,116.0,0.156,0.484,0.103,0.2656,8.36
4,0.452,67.2,0.481,0.415,0.1714,0.4914,17.52
5,0.688,97.8,0.425,0.279,0.3812,0.3984,10.13
6,0.587,60.3,0.456,0.113,0.3316,0.3549,17.99
7,0.603,101.4,0.394,0.057,0.301,0.3062,13.66
8,0.688,69.9,0.399,0.206,0.2241,0.3781,27.17
9,0.675,113.0,0.501,0.148,0.4047,0.4071,22.98
10,0.561,74.7,0.441,0.074,0.2707,0.3428,21.19
11,0.688,92.0,0.584,0.115,0.3721,0.455,17.9
12,0.661,80.0,0.56,0.076,0.3606,0.4227,26.13
13,0.608,77.7,0.597,0.089,0.41,0.4592,16.9
14,0.688,111.4,0.552,0.224,0.4296,0.4676,24.52
15,0.676,104.6,0.558,0.069,0.3226,0.4197,24.35
16,0.688,79.3,0.684,0.122,0.5725,0.5357,33.01
17,0.688,98.0,0.687,0.021,0.4192,0.4891,22.14
18,0.639,97.8,0.753,0.027,0.4734,0.5401,22.35
19,0.688,95.0,0.574,0.077,0.4444,0.4359,35.02
20,0.517,74.6,0.652,0.239,0.4289,0.5405,34.19
21,0.688,116.9,0.548,0.127,0.4276,0.4302,24.61
22,0.521,79.5,0.622,0.037,0.3367,0.4679,41.78
23,0.688,93.1,0.675,0.156,0.4401,0.5224,54.39
24,0.563,81.6,0.592,0.164,0.3959,0.4835,26.89
25,0.688,89.1,0.606,0.051,0.4478,0.4512,39.21
26,0.688,93.3,0.6,0.165,0.3797,0.4704,32.21
27,0.688,101.5,0.608,0.121,0.3184,0.4712,28.76
28,0.66,92.2,0.639,0.062,0.4204,0.4707,39.54
29,0.663,82.1,0.716,0.139,0.4094,0.5486,34.33
30,0.688,96.6,0.785,0.07,0.5091,0.5802,31.39
31,0.592,96.3,0.715,0.14,0.4567,0.5433,55.97
32,0.688,108.8,0.66,0.001,0.4495,0.478,33.87
33,0.664,95.4,0.573,0.107,0.3245,0.4392,41.84
34,0.595,85.6,0.586,0.197,0.4206,0.4716,36.67
35,0.688,86.0,0.68,0.071,0.4673,0.5033,39.67
36,0.688,104.5,0.685,0.029,0.4609,0.4945,36.64
37,0.607,88.8,0.732,0.17,0.4679,0.5666,42.23
38,0.578,89.9,0.639,0.091,0.3862,0.4957,65.88
39,0.688,98.0,0.534,0.054,0.2951,0.3925,52.72
40,0.688,70.8,0.583,0.123,0.3946,0.4487,64.23
41,0.688,95.4,0.544,0.015,0.3477,0.3921,81.42
42,0.688,71.8,0.563,0.174,0.2946,0.4557,37.54
43,0.653,84.1,0.539,0.06,0.344,0.3974,40.67
44,0.597,65.3,0.52,0.054,0.3136,0.384,75.79
45,0.688,101.6,0.705,0.059,0.4732,0.5144,41.79
46,0.641,94.7,0.645,0.124,0.442,0.495,44.16
47,0.611,94.9,0.607,0.089,0.3946,0.453,45.55
48,0.601,95.5,0.755,0.091,0.472,0.5559,45.42
49,0.52,69.1,0.647,0.097,0.3433,0.5015,45.5
50,0.632,100.5,0.679,0.073,0.3662,0.5,46.3
51,0.659,104.2,0.593,0.04,0.3752,0.4304,48.64
52,0.624,92.2,0.57,0.052,0.3743,0.4361,87.91
53,0.688,84.3,0.652,0.042,0.3942,0.4913,53.52
54,0.688,74.4,0.51,0.128,0.3282,0.4006,50.87
55,0.688,73.4,0.514,0.063,0.2805,0.3873,56.45
56,0.681,72.6,0.504,0.092,0.3648,0.3819,53.37
57,0.688,72.6,0.565,0.029,0.3313,0.4199,53.78
58,0.599,74.1,0.629,0.204,0.363,0.5109,73.97
59,0.688,105.6,0.661,0.077,0.4444,0.4895,80.6
60,0.606,85.0,0.804,0.019,0.5425,0.5717,69.36
61,0.688,99.5,0.808,0.181,0.589,0.6236,55.92
62,0.619,119.1,0.729,0.057,0.5319,0.5297,126.14
63,0.688,84.6,0.672,0.167,0.4817,0.5352,62.08
64,0.688,84.6,0.712,0.111,0.4134,0.562,62.55
65,0.655,118.4,0.781,0.111,0.5901,0.5918,88.01
66,0.674,81.7,0.789,0.018,0.5089,0.567,64.77
67,0.607,76.6,0.744,0.185,0.5473,0.5962,67.67
68,0.659,106.9,0.85,0.126,0.6423,0.6614,65.51
69,0.688,103.0,0.698,0.08,0.4706,0.517,68.58
70,0.663,95.3,0.705,0.158,0.4952,0.5421,75.92
71,0.688,103.1,0.729,0.161,0.4404,0.5694,76.38
72,0.575,114.1,0.717,0.111,0.4925,0.5401,127.11
73,0.688,113.8,0.618,0.159,0.4333,0.4809,75.92
74,0.655,119.3,0.647,0.122,0.3858,0.497,78.01
75,0.584,93.2,0.548,0.109,0.2427,0.4415,108.61
76,0.688,85.8,0.619,0.174,0.3924,0.5254,75.72
77,0.644,74.6,0.662,0.052,0.5077,0.4891,96.29
78,0.611,74.9,0.637,0.136,0.368,0.4885,86.52
79,0.681,75.9,0.606,0.105,0.4646,0.4602,107.4
80,0.688,86.1,0.527,0.053,0.3328,0.4042,112.36
81,0.688,73.9,0.529,0.09,0.3049,0.4049,79.71
82,0.655,73.5,0.639,0.045,0.3568,0.4784,119.65
83,0.657,85.6,0.605,0.03,0.4316,0.4447,85.26
84,0.688,86.1,0.766,0.126,0.5129,0.6087,133.07
85,0.668,88.2,0.616,0.026,0.4666,0.4547,88.61
86,0.688,88.8,0.576,0.065,0.3186,0.4341,137.77
87,0.688,71.4,0.669,0.045,0.4256,0.4888,127.54
88,0.661,64.5,0.652,0.099,0.4287,0.4921,104.97
89,0.628,74.4,0.754,0.07,0.4689,0.5551,118.81
90,0.688,74.2,0.713,0.173,0.4894,0.5656,132.16
91,0.653,92.6,0.731,0.059,0.4657,0.5522,113.44
92,0.688,97.5,0.579,0.147,0.3479,0.4531,130.89
93,0.688,75.9,0.706,0.06,0.4627,0.5273,129.17
94,0.688,108.7,0.715,0.051,0.4978,0.5331,107.01
95,0.682,79.1,0.505,0.044,0.2844,0.3846,122.61
96,0.688,72.2,0.629,0.051,0.4359,0.4567,132.28
97,0.639,70.3,0.684,0.026,0.3798,0.5065,137.03
98,0.688,80.4,0.716,0.182,0.6272,0.581,138.79
99,0.688,91.0,0.615,0.091,0.3914,0.4602,144.71
100,0.688,91.4,0.625,0.135,0.5226,0.4969,135.42
101,0.645,91.2,0.639,0.019,0.4036,0.4635,124.87
102,0.68,94.4,0.573,0.076,0.3697,0.444,120.84
103,0.634,119.0,0.64,0.034,0.3573,0.4822,123.18
104,0.537,118.0,0.602,0.149,0.4157,0.4762,144.99
105,0.682,118.0,0.612,0.055,0.4266,0.4478,131.38
106,0.688,73.3,0.472,0.1,0.291,0.3611,130.53
107,0.688,64.4,0.433,0.166,0.2821,0.3575,127.52
108,0.688,85.1,0.605,0.092,0.2983,0.482,133.97
109,0.635,93.6,0.775,0.04,0.4772,0.5704,135.3
110,0.688,107.3,0.686,0.054,0.4368,0.503,134.23
111,0.633,105.8,0.695,0.045,0.4616,0.5331,139.82
112,0.688,105.7,0.68,0.184,0.3875,0.5345,140.23
113,0.688,71.5,0.625,0.17,0.465,0.4977,142.09
114,0.675,91.1,0.661,0.047,0.4952,0.4899,143.04
115,0.688,112.7,0.664,0.069,0.4446,0.4966,148.21
116,0.688,112.7,0.652,0.092,0.4482,0.4892,144.3
117,0.688,106.7,0.65,0.107,0.4182,0.4908,147.51
118,0.688,94.9,0.746,0.203,0.4705,0.6018,146.78
119,0.63,102.8,0.673,0.137,0.4532,0.5359,149.13
120,0.688,82.8,0.605,0.138,0.4586,0.478,148.44
121,0.606,104.2,0.715,0.009,0.4835,0.5081,132.33
122,0.655,104.2,0.577,0.077,0.4531,0.4495,134.46
123,0.688,111.8,0.454,0.164,0.2733,0.3727,150.95
124,0.688,117.9,0.638,0.147,0.4543,0.491,134.31
125,0.549,64.3,0.613,0.184,0.3949,0.4899,133.23
126,0.688,64.4,0.634,0.128,0.4306,0.4989,135.6
127,0.688,75.4,0.601,0.035,0.3742,0.433,135.3
128,0.645,75.4,0.505,0.008,0.3083,0.3699,131.99
129,0.645,61.4,0.568,0.051,0.371,0.414,138.85
130,0.688,86.4,0.555,0.045,0.4262,0.4095,139.69
131,0.677,85.8,0.634,0.056,0.4071,0.4614,139.95
132,0.688,113.2,0.635,0.077,0.49,0.482,146.45
133,0.688,84.1,0.643,0.146,0.4336,0.5013,155.12
134,0.688,83.7,0.684,0.181,0.3852,0.5406,143.41
135,0.667,114.7,0.782,0.161,0.5425,0.6108,144.16
136,0.688,115.4,0.759,0.229,0.5415,0.6087,146.26
137,0.688,115.6,0.734,0.346,0.5664,0.6235,150.33
138,0.601,81.1,0.755,0.064,0.4629,0.5504,147.53
139,0.688,80.4,0.592,0.047,0.3958,0.4401,148.13
140,0.672,101.5,0.662,0.047,0.4568,0.4819,147.83
141,0.646,106.1,0.673,0.021,0.4515,0.4828,151.85
142,0.688,75.6,0.579,0.043,0.3423,0.4291,149.44
143,0.688,82.7,0.588,0.096,0.4137,0.4436,153.17
144,0.632,111.9,0.689,0.032,0.4572,0.5002,156.49
145,0.657,73.9,0.75,0.026,0.3924,0.5566,154.73
146,0.688,107.5,0.767,0.078,0.5562,0.5658,155.03
147,0.632,113.7,0.703,0.011,0.4453,0.5112,140.59
148,0.671,85.9,0.673,0.146,0.4834,0.5222,135.9
149,0.552,75.5,0.644,0.019,0.4798,0.4608,154.63
150,0.688,94.3,0.668,0.09,0.3889,0.5048,160.13
151,0.632,84.7,0.763,0.152,0.5845,0.5865,137.06
152,0.688,114.6,0.713,0.116,0.5002,0.5426,136.75
153,0.663,114.4,0.637,0.045,0.5086,0.4709,137.95
154,0.688,106.9,0.483,0.107,0.3015,0.391,142.59
155,0.688,81.3,0.75,0.069,0.5587,0.5647,138.62
156,0.674,89.0,0.61,0.073,0.4054,0.4557,139.76
157,0.688,109.0,0.618,0.067,0.4154,0.4557,141.93
158,0.688,101.2,0.429,0.044,0.244,0.3343,143.48
159,0.458,86.2,0.575,0.261,0.3659,0.5088,140.91
160,0.688,63.6,0.615,0.147,0.3713,0.498,141.37
161,0.666,98.5,0.612,0.107,0.4301,0.4622,142.59
162,0.664,89.0,0.713,0.118,0.5232,0.5377,140.62
163,0.688,91.9,0.635,0.189,0.4305,0.5079,141.81
164,0.64,63.2,0.58,0.146,0.3556,0.4574,142.08
165,0.621,71.2,0.594,0.033,0.4414,0.4334,139.62
166,0.688,71.7,0.659,0.015,0.4307,0.4728,143.57
167,0.688,90.3,0.762,0.082,0.4317,0.5589,141.87
168,0.64,77.8,0.773,0.02,0.5081,0.5612,144.43
169,0.688,78.0,0.618,0.066,0.5077,0.4733,142.7
170,0.688,86.8,0.568,0.064,0.3182,0.4195,147.46
171,0.592,86.8,0.585,0.082,0.3982,0.4357,147.31
172,0.688,96.9,0.685,0.059,0.4816,0.5157,147.87
173,0.688,88.9,0.705,0.042,0.4586,0.5117,155.15
174,0.676,108.5,0.774,0.096,0.4889,0.5726,152.81
175,0.652,82.8,0.652,0.093,0.3842,0.4858,149.58
176,0.652,80.3,0.664,0.143,0.4585,0.5126,150.65
177,0.652,116.7,0.679,0.144,0.4291,0.5293,153.12
178,0.683,97.6,0.629,0.142,0.425,0.4939,152.24
179,0.639,96.8,0.736,0.047,0.476,0.5317,159.55
180,0.688,112.1,0.62,0.1,0.4946,0.4832,151.04
