cycle,s,C,O1,O2,score_best,elapsed_s
1,0.36,76.0,0.054,0.153,0.1034,1.98
2,0.674,101.6,0.089,0.585,0.3371,4.4
3,0.407,74.6,0.058,0.0,0.029,3.43
4,0.365,84.2,0.127,0.036,0.0812,2.95
5,0.643,60.0,0.093,0.011,0.052,4.43
6,0.436,67.5,0.124,0.004,0.0639,2.85
7,0.471,90.2,0.142,0.0,0.0708,3.2
8,0.532,85.7,0.157,0.066,0.1112,3.36
9,0.384,113.3,0.172,0.003,0.0873,5.27
10,0.687,61.9,0.033,0.015,0.0243,5.62
11,0.331,77.7,0.086,0.013,0.0496,3.21
12,0.633,112.6,0.209,0.013,0.111,4.19
13,0.475,81.6,0.038,0.019,0.0285,5.98
14,0.623,66.7,0.064,0.029,0.0464,4.95
15,0.49,82.0,0.115,0.009,0.0623,3.67
16,0.686,70.5,0.113,0.153,0.1328,4.53
17,0.483,75.2,0.122,0.013,0.0676,4.89
18,0.686,118.6,0.193,0.034,0.1136,4.94
19,0.391,101.6,0.117,0.019,0.068,4.61
20,0.667,87.0,0.128,0.0,0.0639,7.86
21,0.604,94.8,0.123,0.012,0.0679,9.32
22,0.576,72.1,0.082,0.01,0.0459,5.89
23,0.614,69.6,0.204,0.002,0.103,5.13
24,0.684,86.1,0.385,0.216,0.3005,7.5
25,0.6,100.7,0.16,0.066,0.1128,6.08
26,0.523,100.0,0.186,0.002,0.0938,5.86
27,0.508,97.2,0.223,0.007,0.1149,8.14
28,0.432,109.0,0.144,0.004,0.0737,8.36
29,0.686,69.9,0.077,0.029,0.0527,9.66
30,0.629,87.9,0.088,0.004,0.0457,7.57
31,0.537,87.6,0.139,0.012,0.0755,8.78
32,0.609,82.5,0.123,0.014,0.0689,5.85
33,0.596,71.4,0.073,0.0,0.0364,5.96
34,0.661,75.1,0.129,0.006,0.0674,5.53
35,0.566,80.1,0.146,0.043,0.0944,5.87
36,0.601,71.0,0.122,0.014,0.0682,7.72
37,0.494,71.0,0.135,0.0,0.0677,6.09
38,0.615,70.9,0.16,0.048,0.1044,6.57
39,0.684,85.2,0.136,0.003,0.0692,7.46
40,0.646,105.0,0.139,0.014,0.0763,6.41
41,0.545,86.7,0.173,0.01,0.0915,6.62
42,0.462,96.7,0.204,0.025,0.1143,11.05
43,0.444,101.1,0.195,0.009,0.1018,13.72
44,0.677,92.9,0.163,0.011,0.0873,7.1
45,0.552,68.4,0.222,0.008,0.1152,14.04
46,0.466,108.5,0.22,0.009,0.1149,7.39
47,0.47,81.4,0.19,0.025,0.1075,10.85
48,0.514,83.5,0.176,0.016,0.096,7.41
49,0.509,94.3,0.257,0.008,0.1327,7.68
50,0.646,78.9,0.169,0.016,0.0921,11.34
51,0.555,67.9,0.188,0.012,0.0999,12.53
52,0.632,102.6,0.196,0.023,0.1094,7.93
53,0.515,73.4,0.136,0.048,0.0921,8.16
54,0.684,60.6,0.133,0.094,0.1135,9.2
55,0.687,80.4,0.111,0.017,0.0636,11.89
56,0.497,65.3,0.22,0.002,0.1112,11.03
57,0.545,99.1,0.239,0.002,0.1207,9.73
58,0.679,99.3,0.181,0.005,0.0928,11.18
59,0.625,60.0,0.111,0.009,0.0604,9.07
60,0.645,60.2,0.151,0.0,0.0755,9.89
61,0.561,83.8,0.233,0.026,0.1295,9.2
62,0.433,71.7,0.222,0.021,0.1217,12.36
63,0.549,107.6,0.217,0.013,0.115,9.98
64,0.579,88.5,0.185,0.009,0.097,9.28
65,0.589,88.2,0.229,0.011,0.1202,11.99
66,0.664,95.9,0.364,0.02,0.1921,13.71
67,0.614,63.8,0.307,0.016,0.1614,10.96
68,0.611,77.9,0.292,0.02,0.1558,21.83
69,0.526,104.9,0.39,0.052,0.2206,19.2
70,0.547,91.7,0.58,0.026,0.303,20.84
71,0.604,91.4,0.455,0.008,0.2315,12.4
72,0.566,81.5,0.381,0.029,0.2051,21.17
73,0.669,114.4,0.368,0.017,0.1925,26.95
74,0.639,76.6,0.241,0.078,0.1593,13.17
75,0.68,75.5,0.265,0.009,0.137,12.79
76,0.655,75.5,0.384,0.03,0.2069,25.82
77,0.655,75.5,0.41,0.037,0.2232,13.67
78,0.671,89.1,0.382,0.015,0.1989,16.17
79,0.633,68.1,0.341,0.0,0.1705,16.47
80,0.65,61.8,0.355,0.01,0.1823,14.49
81,0.534,71.2,0.411,0.025,0.2179,15.05
82,0.463,77.1,0.452,0.009,0.2306,20.44
83,0.551,84.3,0.379,0.005,0.1917,14.35
84,0.518,116.2,0.433,0.007,0.2201,14.94
85,0.479,94.8,0.405,0.023,0.214,15.59
86,0.684,118.0,0.438,0.069,0.2535,36.03
87,0.579,94.2,0.336,0.048,0.1922,31.76
88,0.662,106.6,0.37,0.039,0.2045,19.57
89,0.671,65.2,0.445,0.001,0.2229,19.9
90,0.648,72.0,0.418,0.003,0.2105,23.67
91,0.648,72.0,0.466,0.002,0.2338,21.08
92,0.57,73.5,0.484,0.058,0.2712,43.33
93,0.579,73.5,0.466,0.014,0.2398,29.83
94,0.526,72.2,0.413,0.004,0.2087,33.24
95,0.666,89.5,0.478,0.022,0.2503,26.08
96,0.662,60.3,0.419,0.031,0.2252,25.27
97,0.641,110.7,0.41,0.019,0.2144,30.23
98,0.591,66.3,0.37,0.032,0.2014,25.15
99,0.662,102.1,0.502,0.002,0.2519,33.99
100,0.655,75.4,0.388,0.03,0.2091,26.52
101,0.686,73.9,0.357,0.032,0.1947,26.9
102,0.678,73.6,0.384,0.017,0.2004,27.12
103,0.644,77.1,0.457,0.005,0.231,32.88
104,0.625,76.9,0.48,0.027,0.2535,52.08
105,0.683,73.0,0.438,0.054,0.2461,30.29
106,0.633,69.2,0.474,0.004,0.2387,29.15
107,0.66,87.4,0.422,0.043,0.2329,37.81
108,0.616,81.3,0.405,0.003,0.2037,29.16
109,0.687,113.2,0.399,0.055,0.2266,40.5
110,0.648,108.5,0.293,0.169,0.2315,42.95
111,0.661,73.2,0.309,0.001,0.1554,53.94
112,0.641,101.2,0.446,0.008,0.227,31.75
113,0.632,75.6,0.343,0.059,0.2011,37.13
114,0.646,98.9,0.46,0.015,0.2371,28.08
115,0.636,69.8,0.352,0.045,0.1983,28.65
116,0.687,80.1,0.39,0.131,0.2605,47.85
117,0.504,96.1,0.478,0.001,0.2394,31.01
118,0.57,96.6,0.499,0.016,0.2573,37.26
119,0.575,69.8,0.496,0.042,0.2688,28.29
120,0.616,117.0,0.447,0.042,0.2441,29.31
121,0.584,78.2,0.336,0.0,0.1678,28.24
122,0.338,87.7,0.487,0.018,0.2526,30.22
123,0.68,115.5,0.527,0.025,0.2761,47.64
124,0.648,116.0,0.503,0.01,0.2564,42.7
125,0.413,82.3,0.337,0.008,0.1728,42.91
126,0.613,73.3,0.363,0.049,0.2056,30.17
127,0.433,101.4,0.385,0.001,0.1931,45.75
128,0.624,99.0,0.417,0.003,0.2097,30.43
129,0.563,60.9,0.42,0.058,0.2393,35.13
130,0.509,73.2,0.418,0.002,0.21,33.56
131,0.599,108.5,0.506,0.029,0.2673,44.22
132,0.531,91.0,0.394,0.0,0.1972,35.45
133,0.469,92.0,0.413,0.004,0.2083,53.77
134,0.464,119.8,0.397,0.006,0.2017,30.74
135,0.478,112.2,0.43,0.009,0.2197,39.58
136,0.49,112.3,0.501,0.001,0.2514,31.16
137,0.684,60.6,0.327,0.105,0.2161,48.12
138,0.631,100.1,0.474,0.001,0.2378,63.58
139,0.596,76.3,0.409,0.004,0.2062,39.33
140,0.596,76.3,0.413,0.003,0.2079,29.68
141,0.612,99.8,0.467,0.026,0.2463,47.12
142,0.542,97.4,0.423,0.003,0.2129,39.03
143,0.621,63.9,0.338,0.003,0.1706,39.39
144,0.603,67.6,0.344,0.005,0.1745,48.88
145,0.685,86.1,0.35,0.045,0.1978,56.76
146,0.61,82.9,0.355,0.014,0.1845,38.84
147,0.678,98.0,0.413,0.007,0.2099,54.37
148,0.494,62.0,0.276,0.019,0.147,43.63
149,0.638,112.9,0.33,0.002,0.1655,38.02
150,0.582,84.4,0.383,0.002,0.1922,33.91
151,0.527,75.6,0.316,0.044,0.1801,28.21
152,0.592,71.4,0.362,0.008,0.1852,49.84
153,0.525,85.3,0.4,0.006,0.2032,30.27
154,0.559,60.4,0.368,0.013,0.1905,28.6
155,0.601,69.5,0.34,0.017,0.1783,44.17
156,0.537,116.7,0.36,0.023,0.1916,33.45
157,0.63,86.5,0.371,0.01,0.1906,45.16
158,0.49,63.8,0.292,0.005,0.1484,48.55
159,0.522,85.7,0.463,0.004,0.2337,31.92
160,0.623,114.8,0.345,0.029,0.187,29.08
161,0.541,65.6,0.34,0.074,0.2068,29.12
162,0.578,112.2,0.366,0.008,0.1866,46.94
163,0.617,88.6,0.314,0.013,0.1635,32.39
164,0.647,77.1,0.332,0.031,0.1816,28.64
165,0.612,67.0,0.349,0.016,0.1824,44.35
166,0.542,102.3,0.369,0.008,0.1887,29.01
167,0.635,64.3,0.332,0.022,0.177,33.21
168,0.617,64.3,0.353,0.015,0.1842,40.94
169,0.548,89.5,0.358,0.002,0.1801,28.61
170,0.59,95.5,0.263,0.008,0.1355,37.66
171,0.535,64.0,0.314,0.045,0.1797,37.05
172,0.479,60.5,0.364,0.0,0.1818,36.87
173,0.538,95.4,0.372,0.002,0.1872,28.63
174,0.531,95.3,0.348,0.003,0.1758,41.46
175,0.438,105.8,0.304,0.01,0.1569,33.47
176,0.424,76.6,0.316,0.005,0.1603,35.62
177,0.549,93.7,0.366,0.028,0.1971,27.98
178,0.528,93.8,0.381,0.036,0.2088,32.1
179,0.5,77.4,0.267,0.019,0.143,27.33
180,0.675,107.0,0.293,0.005,0.1487,27.33
181,0.682,107.1,0.182,0.071,0.1265,31.65
