cycle,s,C,O1,O2,score_best,robust_score,elapsed_s
1,0.5,90,0.028,0.339,0.1213,0,0.0
2,0.5,90,0.223,0.927,0.4341,0,0.0
3,0.5,90,0.17,0.474,0.2613,0,0.0
4,0.5,90,0.142,0.491,0.2471,0,0.0
5,0.5,90,0.157,0.129,0.1486,0,0.0
6,0.5,90,0.11,0.06,0.0952,0,0.0
7,0.5,90,0.077,0.245,0.1273,0,0.0
8,0.5,90,0.092,0.449,0.1988,0,0.0
9,0.5,90,0.11,0.143,0.1198,0,0.0
10,0.5,90,0.118,0.138,0.1242,0,0.0
11,0.5,90,0.121,0.318,0.1804,0,0.0
12,0.5,90,0.096,0.253,0.1436,0,0.0
13,0.5,90,0.087,0.147,0.1053,0,0.0
14,0.5,90,0.035,0.131,0.0638,0,0.0
15,0.5,90,0.113,0.61,0.2623,0,0.0
16,0.5,90,0.077,0.12,0.0898,0,0.0
17,0.5,90,0.072,0.238,0.1219,0,0.0
18,0.5,90,0.07,0.08,0.0729,0,0.0
19,0.5,90,0.101,0.257,0.1478,0,0.0
20,0.5,90,0.058,0.076,0.0637,0,0.0
21,0.5,90,0.108,0.017,0.0806,0,0.0
22,0.5,90,0.219,0.192,0.2105,0,0.0
23,0.5,90,0.188,0.176,0.1847,0,0.0
24,0.5,90,0.15,0.02,0.1109,0,0.0
25,0.5,90,0.156,0.008,0.1118,0,0.0
26,0.5,90,0.22,0.036,0.1645,0,0.0
27,0.5,90,0.082,0.015,0.0617,0,0.0
28,0.5,90,0.145,0.284,0.1871,0,0.0
29,0.5,90,0.131,0.341,0.1936,0,0.0
30,0.5,90,0.098,0.115,0.1026,0,0.0
31,0.5,90,0.154,0.314,0.2018,0,0.0
32,0.5,90,0.14,0.194,0.1563,0,0.0
33,0.5,90,0.118,0.352,0.1882,0,0.0
34,0.5,90,0.116,0.305,0.1731,0,0.0
35,0.5,90,0.145,0.046,0.1156,0,0.0
36,0.5,90,0.128,0.336,0.1905,0,0.0
37,0.5,90,0.195,0.395,0.255,0,0.0
38,0.5,90,0.191,0.148,0.178,0,0.0
39,0.5,90,0.184,0.205,0.1905,0,0.0
40,0.5,90,0.153,0.117,0.142,0,0.0
41,0.5,90,0.13,0.004,0.0923,0,0.0
42,0.5,90,0.244,0.333,0.2703,0,0.0
43,0.5,90,0.244,0.427,0.2992,0,0.0
44,0.5,90,0.214,0.167,0.1999,0,0.0
45,0.5,90,0.159,0.264,0.1908,0,0.0
46,0.5,90,0.077,0.151,0.0992,0,0.0
47,0.5,90,0.138,0.401,0.2166,0,0.0
48,0.5,90,0.202,0.344,0.2449,0,0.0
