cycle,s,C,O1,O2,score_best,elapsed_s
1,0.5,90,0.077,0.339,0.2078,0.0
2,0.5,90,0.142,0.995,0.5686,0.0
3,0.5,90,0.195,0.01,0.1024,0.0
4,0.5,90,0.136,0.322,0.2293,0.0
5,0.5,90,0.126,0.14,0.133,0.0
6,0.5,90,0.125,0.064,0.0946,0.0
7,0.5,90,0.149,0.037,0.0928,0.0
8,0.5,90,0.169,0.476,0.3226,0.0
9,0.5,90,0.124,0.268,0.1962,0.0
10,0.5,90,0.083,0.415,0.2494,0.0
11,0.5,90,0.115,0.322,0.2188,0.0
12,0.5,90,0.136,0.283,0.2095,0.0
13,0.5,90,0.149,0.232,0.1906,0.0
14,0.5,90,0.159,0.509,0.3342,0.0
15,0.5,90,0.158,0.502,0.3302,0.0
16,0.5,90,0.101,0.471,0.286,0.0
17,0.5,90,0.136,0.283,0.2095,0.0
18,0.5,90,0.157,0.166,0.1612,0.0
19,0.5,90,0.126,0.391,0.2586,0.0
20,0.5,90,0.171,0.208,0.1895,0.0
21,0.5,90,0.124,0.397,0.2606,0.0
22,0.5,90,0.108,0.827,0.4675,0.0
23,0.5,90,0.191,0.313,0.2523,0.0
24,0.5,90,0.184,0.096,0.14,0.0
25,0.5,90,0.205,0.091,0.1479,0.0
26,0.5,90,0.146,0.191,0.1685,0.0
27,0.5,90,0.29,0.121,0.2059,0.0
28,0.5,90,0.165,0.278,0.2214,0.0
29,0.5,90,0.159,0.507,0.3329,0.0
30,0.5,90,0.151,0.149,0.1498,0.0
31,0.5,90,0.151,0.169,0.1604,0.0
32,0.5,90,0.171,0.422,0.2965,0.0
33,0.5,90,0.112,0.427,0.2694,0.0
34,0.5,90,0.194,0.254,0.2242,0.0
35,0.5,90,0.168,0.036,0.102,0.0
36,0.5,90,0.185,0.583,0.384,0.0
37,0.5,90,0.193,0.531,0.3617,0.0
38,0.5,90,0.157,0.409,0.2834,0.0
39,0.5,90,0.159,0.239,0.1994,0.0
40,0.5,90,0.214,0.277,0.2456,0.0
41,0.5,90,0.242,0.183,0.2124,0.0
42,0.5,90,0.175,0.722,0.4483,0.0
43,0.5,90,0.221,0.09,0.1553,0.0
44,0.5,90,0.213,0.176,0.1945,0.0
45,0.5,90,0.242,0.235,0.2389,0.0
46,0.5,90,0.266,0.237,0.2517,0.0
47,0.5,90,0.222,0.427,0.3245,0.0
48,0.5,90,0.272,0.48,0.3762,0.0
49,0.5,90,0.298,0.65,0.4741,0.0
50,0.5,90,0.235,0.229,0.2321,0.0
51,0.5,90,0.187,0.295,0.2409,0.0
52,0.5,90,0.177,0.029,0.103,0.0
53,0.5,90,0.245,0.047,0.146,0.0
54,0.5,90,0.249,0.326,0.2873,0.0
55,0.5,90,0.227,0.511,0.3686,0.0
56,0.5,90,0.215,0.224,0.2193,0.0
57,0.5,90,0.163,0.051,0.1072,0.0
58,0.5,90,0.131,0.444,0.2877,0.0
59,0.5,90,0.263,0.012,0.1375,0.0
60,0.5,90,0.18,0.854,0.5174,0.0
61,0.5,90,0.286,0.282,0.2836,0.0
62,0.5,90,0.441,0.441,0.4411,0.0
63,0.5,90,0.431,0.156,0.2937,0.0
64,0.5,90,0.42,0.022,0.2212,0.0
65,0.5,90,0.572,0.179,0.3756,0.0
66,0.5,90,0.425,0.28,0.3524,0.0
67,0.5,90,0.421,0.353,0.3871,0.0
68,0.5,90,0.41,0.584,0.497,0.0
69,0.5,90,0.388,0.351,0.3695,0.0
70,0.5,90,0.262,0.309,0.2852,0.0
71,0.5,90,0.357,0.625,0.4909,0.0
72,0.5,90,0.518,0.423,0.4706,0.0
73,0.5,90,0.395,0.534,0.4645,0.0
74,0.5,90,0.529,0.326,0.4271,0.0
75,0.5,90,0.426,0.268,0.347,0.0
76,0.5,90,0.531,0.343,0.4372,0.0
77,0.5,90,0.387,0.468,0.4271,0.0
78,0.5,90,0.338,0.282,0.3103,0.0
79,0.5,90,0.502,0.191,0.3465,0.0
80,0.5,90,0.532,0.394,0.463,0.0
81,0.5,90,0.475,0.571,0.5226,0.0
82,0.5,90,0.433,0.507,0.4704,0.0
83,0.5,90,0.544,0.276,0.4101,0.0
84,0.5,90,0.572,0.234,0.403,0.0
85,0.5,90,0.659,0.354,0.5065,0.0
86,0.5,90,0.556,0.514,0.5351,0.0
87,0.5,90,0.619,0.269,0.4442,0.0
88,0.5,90,0.559,0.203,0.381,0.0
89,0.5,90,0.484,0.408,0.4463,0.0
90,0.5,90,0.539,0.375,0.4568,0.0
91,0.5,90,0.498,0.088,0.2933,0.0
92,0.5,90,0.621,0.116,0.3681,0.0
93,0.5,90,0.678,0.387,0.5323,0.0
94,0.5,90,0.725,0.474,0.5995,0.0
95,0.5,90,0.677,0.337,0.5073,0.0
96,0.5,90,0.609,0.436,0.5224,0.0
97,0.5,90,0.597,0.334,0.4654,0.0
98,0.5,90,0.552,0.359,0.4558,0.0
99,0.5,90,0.505,0.349,0.4271,0.0
100,0.5,90,0.475,0.225,0.3502,0.0
101,0.5,90,0.538,0.126,0.3319,0.0
102,0.5,90,0.395,0.183,0.2892,0.0
103,0.5,90,0.401,0.19,0.2957,0.0
104,0.5,90,0.496,0.105,0.3001,0.0
105,0.5,90,0.454,0.005,0.2292,0.0
106,0.5,90,0.465,0.379,0.422,0.0
107,0.5,90,0.522,0.085,0.3037,0.0
108,0.5,90,0.525,0.179,0.3518,0.0
109,0.5,90,0.407,0.221,0.3142,0.0
110,0.5,90,0.339,0.022,0.1806,0.0
111,0.5,90,0.517,0.226,0.3716,0.0
112,0.5,90,0.456,0.332,0.3942,0.0
113,0.5,90,0.461,0.108,0.2847,0.0
114,0.5,90,0.426,0.186,0.3059,0.0
115,0.5,90,0.33,0.254,0.2917,0.0
116,0.5,90,0.473,0.261,0.3669,0.0
117,0.5,90,0.392,0.088,0.24,0.0
118,0.5,90,0.266,0.224,0.2451,0.0
119,0.5,90,0.524,0.197,0.3606,0.0
120,0.5,90,0.479,0.481,0.4797,0.0
121,0.5,90,0.443,0.369,0.4056,0.0
122,0.5,90,0.404,0.221,0.3127,0.0
123,0.5,90,0.324,0.275,0.2995,0.0
124,0.5,90,0.456,0.122,0.2893,0.0
125,0.5,90,0.388,0.24,0.3142,0.0
126,0.5,90,0.504,0.044,0.274,0.0
127,0.5,90,0.43,0.065,0.2473,0.0
128,0.5,90,0.39,0.177,0.2839,0.0
129,0.5,90,0.434,0.301,0.3677,0.0
130,0.5,90,0.573,0.238,0.4053,0.0
131,0.5,90,0.431,0.286,0.3582,0.0
132,0.5,90,0.439,0.072,0.2553,0.0
133,0.5,90,0.391,0.019,0.2051,0.0
134,0.5,90,0.451,0.193,0.3222,0.0
135,0.5,90,0.387,0.15,0.2684,0.0
136,0.5,90,0.324,0.117,0.2203,0.0
137,0.5,90,0.367,0.322,0.3442,0.0
138,0.5,90,0.406,0.226,0.316,0.0
139,0.5,90,0.513,0.149,0.331,0.0
140,0.5,90,0.205,0.862,0.5338,0.0
141,0.5,90,0.281,0.36,0.3207,0.0
142,0.5,90,0.191,0.903,0.5471,0.0
143,0.5,90,0.345,0.615,0.4801,0.0
144,0.5,90,0.287,0.302,0.2948,0.0
145,0.5,90,0.312,0.514,0.4132,0.0
146,0.5,90,0.312,0.629,0.4706,0.0
147,0.5,90,0.377,0.213,0.2948,0.0
148,0.5,90,0.271,0.561,0.4161,0.0
149,0.5,90,0.286,0.749,0.5174,0.0
150,0.5,90,0.361,0.73,0.5457,0.0
151,0.5,90,0.321,0.616,0.4686,0.0
152,0.5,90,0.321,0.681,0.5012,0.0
153,0.5,90,0.276,0.779,0.5274,0.0
154,0.5,90,0.278,0.608,0.4433,0.0
155,0.5,90,0.397,0.548,0.4726,0.0
